dt,timestamp,open,high,low,close,volumeBTC,volumeUSD,weightedPrice
2010-07-17,1279324800,0.04951,0.04951,0.04951,0.04951,20.0,0.9902,0.04951
2010-07-18,1279411200,0.05941,0.08585,0.05941,0.08584,75.01,5.0919941,0.06788420344
2010-07-19,1279497600,0.0909,0.09307,0.07723,0.0808,574.0,49.6613,0.086517944251
2010-07-20,1279584000,0.08181,0.08181,0.07426,0.07474,262.0,20.58952,0.078585954198
2010-07-21,1279670400,0.07425,0.07921,0.06634,0.07921,575.0,42.2622,0.073499478261
2010-07-22,1279756800,0.07921,0.08181,0.0505,0.0505,2160.0,129.78428,0.060085314815
2010-07-23,1279843200,0.0505,0.06767,0.0505,0.06262,2402.5,141.0650511,0.058715942185
2010-07-24,1279929600,0.06161,0.06161,0.05049,0.05454,496.32,26.7277095,0.053851768013
2010-07-25,1280016000,0.05545,0.05941,0.0505,0.0505,1551.48,85.062975,0.054826987779
2010-07-26,1280102400,0.05,0.056,0.05,0.056,877.0,46.907,0.053485746864
2010-07-27,1280188800,0.053,0.0605,0.053,0.06,3373.69,196.91835,0.058368833532
2010-07-28,1280275200,0.06,0.062,0.054,0.0589,4390.29,255.759194,0.058255649171
2010-07-29,1280361600,0.0597,0.0699,0.0571,0.0699,8058.49,528.3183128,0.065560460185
2010-07-30,1280448000,0.0698,0.0698,0.0582,0.0627,3020.85,198.5299149,0.065719885099
2010-07-31,1280534400,0.065,0.06889,0.056,0.06785,4022.25,243.898458,0.060637319411
2010-08-01,1280620800,0.061,0.065,0.06,0.0611,2601.0,162.6451925,0.06253179258
2010-08-02,1280707200,0.0627,0.0633,0.06,0.06,3599.0,221.20058,0.061461678244
2010-08-03,1280793600,0.06,0.065,0.059,0.06,9821.46,606.0456913,0.061706272927
2010-08-04,1280880000,0.06229,0.06231,0.057,0.057,3494.0,210.765111,0.060322012307
2010-08-05,1280966400,0.0581,0.061,0.058,0.061,5034.07,303.609091,0.06031086
2010-08-06,1281052800,0.062,0.0624,0.0607,0.0623,1395.0,85.908,0.061582795699
2010-08-07,1281139200,0.0608,0.0622,0.059,0.059,2619.0,157.3408,0.060076670485
2010-08-08,1281225600,0.059,0.061,0.059,0.0609,2201.0,132.5954,0.060243253067
2010-08-09,1281312000,0.06091,0.0735,0.0593,0.071,13631.09,886.9327103,0.065066895626
2010-08-10,1281398400,0.068,0.0709,0.06651,0.07,1310.39,88.8736329,0.067822276498
